index	event	rel	is_certain(1:certain; 0:uncertain)	gene/protein	disease	sentence
1445	A. Expression	E. Associate	0	HE4	chronic heart failure	We measured HE4 levels in patients with chronic heart failure (CHF) and correlated them to HF severity, kidney function, and HF biomarkers, and determined its predictive value.
1446	J. Inhibition	E. Associate	0	angiotensin converting enzyme	left ventricular failure	Effects of a new angiotensin converting enzyme inhibitor, enalapril, in acute and chronic left ventricular failure in dogs.
1447	D.1 Mutation	E. Associate	0	GJA1	heart disease	However, as these clinical findings were not replicated in subsequent studies, the question remains about the contribution of GJA1 mutations in human congenital heart disease (CHD).
1448	I. None	F. None	0	fibrinogen	cerebrovascular disease	In logistic regression analysis, independent variables that correlated with over the cut-off point SCr values were: age >75 years [odds ratio (OR) = 2.2; 95% confidence interval (CI) = 1.5-3.4], atherosclerosis of the lower limbs (OR = 2.0; 95% CI = 1.2-3.3), cerebrovascular disease (OR = 1.9; 95% CI = 1.2-3.3), angiotensin-converting enzyme (ACE) inhibitor medication (OR = 1.8; 95% CI = 1.2-2.8), fibrinogen values >3.5 g/l (OR = 1.2; 95% CI = 1.2-2.7) and diuretic treatment (OR = 1.6; 95% CI = 1.1-2.4).
1449	J. Inhibition	A. Treat	1	thrombin	ischemic stroke	Dabigatran is a direct thrombin inhibitor and an anticoagulant that is prescribed to prevent ischemic stroke and systemic embolism in non-valvular atrial fibrillation.
1450	J. Inhibition	A. Treat	1	ACE	myocardial infarction	Blockade of this system with inhibitors of angiotensin-converting enzyme (ACE) has been shown to benefit several groups of patients, including those with essential hypertension, congestive heart failure, and post myocardial infarction.
1451	J. Inhibition	A. Treat	1	factor xa	stroke	Apixaban, a factor Xa (FXa) inhibitor, is a new oral anticoagulant for stroke prevention in atrial fibrillation (AF).
1452	D.1 Mutation	E. Associate	1	NRAS	congenital heart disease	Recently, germline mutations of NRAS have been shown to be associated with Noonan syndrome (NS), a relatively common developmental disorder characterized by short stature, congenital heart disease, and distinctive facial features.
1453	A.1 Over-expression	G. Marker	1	c-reactive protein	cardiovascular disease	Elevated C-reactive protein (CRP) is a suggested risk marker for cardiovascular disease.
1454	A.1 Over-expression	H. Benefit	1	BNP	coronary artery disease	An elevated level of BNP in plasma is related to the development of good collateral circulation in coronary artery disease.
1455	J. Inhibition	A. Treat	1	ACE	stroke	Blood pressure-lowering for secondary prevention of stroke: ACE inhibition is not the key.
1456	J. Inhibition	H. Benefit	1	PP1	heart failure	Indeed inhibition of PP1 by transgenic overexpression or gene-transfer of constitutively active inhibitor-1 improved Ca-cycling, preserved function and decreased fibrosis in small and large animal models of heart failure, suggesting that inhibitor-1 may represent a potential therapeutic target.
1457	J. Inhibition	A. Treat	1	ang II	heart failure	In addition to inhibition of the circulating renin-angiotensin system, specific inhibition of the cardiac effects of angiotensin II (Ang II) represents an important therapeutic goal in the treatment of clinical heart failure.
1458	J. Inhibition	E. Associate	0	ACE	chronic heart failure	Despite the clinical relevance of angiotensin I-converting enzyme (ACE) inhibitors, their effects on impaired vascular function in patients and animals with chronic heart failure (CHF) have not been fully understood.
1459	L. Be regulated	C. Cause	1	VEZF1	ischemic stroke	MiR-191 inhibit angiogenesis after acute ischemic stroke targeting VEZF1.
1460	I. None	F. None	0	albumin	stroke	Age, gender, social problems, education, body mass index (BMI), comorbidities, history of stroke, use vitamin K antagonists, inadequate fatty fish intake, serum thyroid-stimulating hormone (TSH), vitamin B12, albumin, and estimated glomerular filtration rate were used as confounders.
1461	D.1 Mutation	E. Associate	0	NOTCH3	cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	Spectrum of NOTCH3 mutations in Korean patients with clinically suspicious cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy.
1462	A.1 Over-expression	E. Associate	0	HSP72	stroke	Future strategies aimed at enhancing HSP72 expression after clinical stroke may be worth pursuing.
1463	J. Inhibition	E. Associate	0	angiotensin converting enzyme	hypertensive heart failure	Determine the effect of a matrix metalloproteinase inhibitor (MMPi) and angiotensin converting enzyme inhibitor (ACEi) on collagen, MMP, tissue inhibitors of MMPs (TIMPs) expression in the spontaneously hypertensive heart failure (SHHF) rat.
1464	F.2 Methylation	C. Cause	0	ITPR3	cerebral ischemia	Correlation between altered DNA methylation of intergenic regions of ITPR3 and development of delayed cerebral ischemia in subarachnoid hemorrhage patients.
1465	A. Expression	E. Associate	0	SENP1	cardiomyopathy	We investigated whether alteration in SENP1 expression affects cardiomyopathy and the underlying mechanism.
1466	I. None	E. Associate	0	fibrinogen	myocardial infarction	Eighty-five Indian patients (age < 45 years) presenting ischemic stroke (n = 48) or myocardial infarction (n = 37) and 50 controls were studied for seven thrombophilia markers including antithrombin (AT), factor V, protein C, protein S, activated protein C resistance (APC-R), fibrinogen and Lp(a).
1467	I. None	H. Benefit	1	CD21	ischemic stroke	These results suggest that CD21 may exert neuroprotective and anti-inflammatory effects with a wide time window for the treatment of ischemic stroke.
1468	I. None	A. Treat	1	TPA	ischemic stroke	Consecutive acute ischemic stroke patients receiving intravenous tissue plasminogen activator (TPA) were studied.
1469	A.1 Over-expression	C. Cause	1	RANTES	cardiovascular disease	Patients with dyslipidemia associated with HIV-1 infection and highly active antiretroviral therapy (HAART) have elevated levels of Lp-PLA2 and CCL5/regulated on activation, normal T-cell expressed and secreted (RANTES), which may increase the risk of cardiovascular disease.
1470	L.1 Up-regulation	H. Benefit	1	APE1	stroke	Defective DNA repair is tightly correlated with worse neurological outcomes after stroke, whereas upregulation of DNA repair enzymes, such as APE1, OGG1, and XRCC1, improves long-term functional recovery following stroke.
1471	I. None	E. Associate	1	VPS4B	cerebral ischemia	Vacuolar protein sorting 4B (VPS4B), a member of ATPase family proteins, reportedly possesses multiple biological functions, such as regulating the development of breast cancer and non-small-cell lung cancer, participating in Parkinson's disease, and modulating neuronal apoptosis after cerebral ischemia.
1472	M.2 Knock in	C. Cause	1	HSP60	heart failure	Neonatal Death and Heart Failure in Mouse with Transgenic HSP60 Expression.
1473	I. None	G. Marker	1	b-type natriuretic peptide	congestive heart failure	In conclusion, it was found that B-type natriuretic peptide is an important biomarker for differentiating congestive heart failure from lung disease in patients presenting with dyspnea.
1474	A. Expression	E. Associate	1	SPARC	myocardial infarction	Fibroblast migration after myocardial infarction is regulated by transient SPARC expression.
1475	J. Inhibition	H. Benefit	1	tpa	stroke	We demonstrate that tissue plasminogen activator (tPA) and its inhibitors contribute to neurite outgrowth in the central nervous system (CNS) after treatment of stroke with multipotent mesenchymal stromal cells (MSCs).
1476	A. Expression	E. Associate	0	fibrinogen	cerebral infarction	Measurement of platelet fibrinogen binding and p-selectin expression by flow cytometry in patients with cerebral infarction.
1477	A. Expression	E. Associate	0	BDNF	stroke	This study aimed to clarify whether ischemia-induced early growth response 1 (EGR1) influenced the outcomes of experimental stroke by regulating brain-derived neurotrophic factor (BDNF) expression.
1478	I. None	B. Target	1	thrombin	stroke	These results indicated that thrombin preferentially activated astrocytic autophagy after ICH, and therefore provided novel insights into the pathophysiological mechanisms and therapeutic targets for hemorrhage stroke and brain trauma.
1479	A. Expression	E. Associate	0	synapsin I	cerebral ischemia	The purpose of the present study was to determine whether nefiracetam has an effect on the expression of brain-derived neurotrophic factor (BDNF) and synapsin I mRNAs that are believed to be produced via CREB, and the alteration in their protein contents in the hippocampus after cerebral ischemia.
1480	A. Expression	E. Associate	0	MAP2	transient cerebral ischemia	Changes in drebrin, MAP2 (postsynaptic marker) and synaptophysin (presynaptic marker) in rat brains were examined after 20 min of transient cerebral ischemia.
1481	D.1 Mutation	C. Cause	1	MTHFR	stroke	Coexistent atrial septal aneurysm, size of PFO, degree of the shunt, shunt at rest, pelvic deep vein thrombosis, and prothrombotic states (G20210A prothrombin gene mutation, Factor V Leiden mutation, MTHFR: C677T, basal homocystine, recent surgery, trauma, or use of contraceptives) could enhance stroke risk in subjects with PFO.
1482	I. None	G. Marker	1	gelsolin	acute rheumatic carditis	Plasma gelsolin as a biomarker of acute rheumatic carditis.
1483	D.1 Mutation	E. Associate	1	apolipoprotein A5	coronary artery disease	The association between -1131T>C single nucleotide polymorphism (SNP) of the apolipoprotein A5 gene (APOA5) and hypertriglyceridemia raised the possibility that this SNP could be related to coronary artery disease (CAD) risk.
1484	D.1 Mutation	E. Associate	0	desmoplakin	carvajal syndrome	As similar phenotypes have been described in Naxos disease and Carvajal syndrome, respectively, the genes for plakoglobin (JUP) and desmoplakin (DSP) were screened for mutations using direct genomic sequencing.
1485	D.1 Mutation	C. Cause	1	CTC1	coats plus syndrome	Mutations in CTC1, which encodes a key telomere component, have been identified as the cause of Coats plus syndrome.
1486	I. None	B. Target	1	NOX2	stroke	A profound body of literature suggests NOX2 to be a major therapeutic target in stroke.
1487	J. Inhibition	A. Treat	1	angiotensin converting enzyme	heart failure with reduced ejection fraction	Current guideline-based therapies for heart failure with reduced ejection fraction, including beta blockers, angiotensin converting enzyme (ACE) inhibitors, and aldosterone antagonists aim to interrupt deleterious neurohormonal pathways and have shown significant success in reducing morbidity and mortality associated with heart failure.
1488	I. None	A. Treat	1	rt-pa	cerebral ischemia	Thrombolytic treatment with rt-PA in the first 3 hours of cerebral ischemia reduces the risk of mortality or dependence at 3 months by 51%.
1489	C. Activation	E. Associate	0	metabotropic glutamate receptor 5	subarachnoid hemorrhage	Activation of metabotropic glutamate receptor 5 (mGluR5) provided neuroprotection in multiple central nervous system injury, but the roles of mGluR5 in subarachnoid hemorrhage (SAH) remain unclear.
1490	A.2 Under-expression	E. Associate	1	MCAD	heart failure	However, protein expression of MCAD and CPT-I was decreased concomitantly only in TG mice with criteria of heart failure.
1491	I. None	B. Target	1	HERG	arrhythmia	The human ether-a-go-go-related gene (HERG) cardiac K(+) channels are one of the representative pharmacological targets for development of drugs against cardiovascular diseases such as arrhythmia.
1492	D.1 Mutation	C. Cause	1	HERG	arrhythmia	Attenuation of repolarizing K+ current caused by mutations in HERG or channel block by common medications prolongs ventricular action potentials and increases the risk of arrhythmia and sudden death.
1493	I. None	E. Associate	0	CTMP	cerebral ischemia	We investigated the role of carboxy-terminal modulator protein (CTMP), an endogenous Akt inhibitor, in brain injury following focal cerebral ischemia in type 2 diabetic db/db mice and their control littermates non-diabetic db/+ mice.
1494	L.1 Up-regulation	C. Cause	1	SPHK1	coronary artery disease	Transforming Growth Factor β1 (TGF-β1) Appears to Promote Coronary Artery Disease by Upregulating Sphingosine Kinase 1 (SPHK1) and Further Upregulating Its Downstream TIMP-1.
1495	I. None	A. Treat	1	b-type natriuretic peptide	heart failure	Although short-term B-type natriuretic peptide (BNP) treatment has been shown to be effective for decompensated congestive heart failure, little is known about the effects of long-term BNP treatment in ventricular remodeling and heart failure in response to myocardial infarction.
1496	J. Inhibition	H. Benefit	1	AC5	chronic heart failure	These data indicate that selective AC5 inhibitors may be beneficial in chronic heart failure.
1497	D.1 Mutation	C. Cause	1	metavinculin	cardiomyopathy	Cardiomyopathy Mutations in Metavinculin Disrupt Regulation of Vinculin-Induced F-Actin Assemblies.
1498	I. None	A. Treat	1	brain natriuretic peptide	acute anterior myocardial infarction	Value of human brain natriuretic peptide in treatment of acute anterior myocardial infarction evaluated via three-dimensional speckle tracking imaging.
1499	A.1 Over-expression	G. Marker	1	CRP	cardiovascular disease	Minor elevations in CRP (>3 mg/L) are a nonspecific marker of systemic inflammation and predict the future onset of cardiovascular disease.
1500	A. Expression	E. Associate	1	MAP4K1	cerebral infarction	The expression of CDKN2B-AS1, BCL11A, and MAP4K1 was altered in lymphocytes extracted from patients with cerebral infarction.
1501	D.1 Mutation	E. Associate	0	methylenetetrahydrofolate reductase	coronary artery disease	We sought to investigate the association between the methylenetetrahydrofolate reductase (MTHFR) gene C677T mutation and the risk of coronary artery disease (CAD), myocardial infarction (MI) and venous thrombosis (VT) in a Chinese population in Taiwan.
1502	A.1 Over-expression	E. Associate	1	myostatin	myocardial infarction	Furthermore, following myocardial infarction, myostatin expression is upregulated in the cardiomyocytes surrounding the infarct area.
1503	J. Inhibition	A. Treat	1	thrombin	stroke	Dabigatran etexilate, a new oral direct thrombin inhibitor, is safe and effective in reducing risk of stroke among patients with atrial fibrillation.
1504	D.1 Mutation	C. Cause	1	LMNA	dilated cardiomyopathy	Mutations in the LMNA gene encoding lamins A and C by alternative splicing have been found to cause at least four different kinds of genetic disorders: autosomal dominant Emery-Dreifuss muscular dystrophy (EDMD2; MIM 181350); limb-girdle muscular dystrophy type 1B (LGMD1B; MIM 159001); dilated cardiomyopathy type 1A (CMD1A; MIM 115200); and familial partial lipodystrophy (FPLD; MIM 151660).
1505	D.1 Mutation	C. Cause	1	ethanolamine kinase	cardiomyopathy	Fly mutants that bear perturbations in phosphatidylethanolamine (PE) biosynthesis, such as the easily-shocked (eas) mutants defective in ethanolamine kinase, incurred aberrant activation of the sterol regulatory element binding protein (SREBP) pathway, thereby causing chronic lipogenesis and cardiac steatosis that culminates in the development of lipotoxic cardiomyopathy.
1506	J. Inhibition	A. Treat	1	NEP	cardiovascular disease	Thus neutral endopeptidase plays an important role in local kinin-modulated NO production in the coronary microcirculation and NEP inhibitors may be useful clinical tools in treatment of cardiovascular disease.
1507	A.2 Under-expression	E. Associate	0	protein S	stroke	One hundred forty-eight Caucasian infants and children (aged 0.5 to 16 years) with stroke and 296 age-matched controls from the same geographic areas as the patients were analyzed for increased lipoprotein (a) [Lp(a)] levels >30 mg/dL; for the presence of the factor V (FV) G1691A mutation, the prothrombin (PT) G20210A variant, and the TT677 genotype of methylenetetrahydrofolate reductase (MTHFR); and deficiencies of protein C, protein S, and antithrombin.
1508	I. None	C. Cause	1	urotensin II	heart failure	Urotensin II (UII) and urocortin (UCN) are potent contributors to the physiopathology of heart failure.
1509	J. Inhibition	H. Benefit	1	PDE3A	congestive heart failure	The classical phosphodiesterase 3A (PDE3A) inhibitors provide relaxation of the vasculature system via increasing the cellular level of cyclic adenosine monophosphate (cAMP) and proved to be useful in the management of congestive heart failure.
1510	A. Expression	E. Associate	1	osteocalcin	coronary atherosclerosis	This study tests the hypothesis that circulating mononuclear cells expressing osteocalcin (OCN) and bone alkaline phosphatase (BAP) are associated with distinct plaque tissue components in patients with early coronary atherosclerosis.
1511	D.1 Mutation	E. Associate	1	PON1	stroke	Sequence analysis of the PON1 gene from seventy stroke cases revealed a novel nonsense mutation at codon 32 in one stroke case, which was not detected in over 2500 unaffected individuals.
1512	A. Expression	E. Associate	1	CD40	dilated cardiomyopathy	Expression of costimulatory molecules B7-1, B7-2, and CD40 in the heart of patients with acute myocarditis and dilated cardiomyopathy.
1513	D.1 Mutation	E. Associate	0	methylenetetrahydrofolate reductase	ischemic stroke	The Factor V Leiden G1691A (Leiden V), the prothrombin G20210A and the methylenetetrahydrofolate reductase C677T (MTHFR C677T) mutations and the angiotensin-converting enzyme I/D (ACE I/D) and apolipoprotein E (APOE) genotypes were examined by the PCR technique in 689 ischemic stroke patients and 652 stroke-free controls.
1514	A.1 Over-expression	E. Associate	1	factor VIII	stroke	Heat stroke patients showed (i) significant prolongation of the prothrombin (PT), activated partial thromboplastin (aPTT) and thrombin times (TT) but normal reptilase time (RT); (ii) significant reduction in plasma levels of antithrombin III (AT-III), factor V, proteins C and S, plasminogen activator inhibitor (PAI) and platelet count; (iii) increase in plasma factor VIII, tissue plasminogen activator (t-PA) and serum FDP; (iv) no significant changes in plasma fibrinogen, plasminogen, alpha 2-antiplasmin and factors VII and X.
1515	D.5 Polymorphism	F. None	1	TLR5	stroke	TLR5 rs5744174 polymorphism may have no impact on the stroke risk, gene expression and inflammatory cytokines, but may influence the HDL-C serum level of IS patients in Chinese Han population.
1516	A.2 Under-expression	E. Associate	0	albuminuria	myocardial infarction	MR antagonism improves endothelial function in patients with CHF, reduces circulating biomarkers of cardiac fibrosis in CHF or following myocardial infarction, reduces blood pressure in resistant hypertension and decreases albuminuria in hypertensive and diabetic patients.
1517	D.1 Mutation	E. Associate	0	GLA	fabry disease	Using this method, we studied the relationship between urinary levels of total Gb3/creatinine excretion and four types of mutations in the GLA gene (missense, nonsense, frameshift, and splice-site defects) in 32 children and 78 adult patients with Fabry disease.
1518	J. Inhibition	C. Cause	1	estrogen receptor	cerebral ischemia	Previous work in our laboratory has provided evidence that acute, systemic administration of resveratrol is neuroprotective in a permanent model of cerebral ischemia, an effect that was blocked when animals received the non-selective estrogen receptor antagonist, ICI, 182,780.
1519	A. Expression	B. Target	1	MLCK	cardiomyopathy	Specifically targeting MLCK expression in the heart might, in the future, lead to promising therapies that counteract cardiomyopathy.
1520	A. Expression	E. Associate	1	brain natriuretic peptide	heart failure	Although brain natriuretic peptide (BNP) of myocardial origin is important in cardiovascular and renal function and as a marker of cardiac dysfunction, the expression of BNP in atrial and ventricular myocardium remains controversial both under normal conditions and in heart failure.
1521	M.2 Knock in	H. Benefit	1	fibroblast growth factor 9	myocardial infarction	Conditional transgenic expression of fibroblast growth factor 9 in the adult mouse heart reduces heart failure mortality after myocardial infarction.
1522	A.2 Under-expression	H. Benefit	1	CHOP	myocardial infarction	By down-regulating GRP78, caspase-12 and CHOP expressions in myocardial cells in rat heart failure after myocardial infarction, atorvastatin treatment decreased the apoptosis of myocardial cells, suggesting the possible mechanism by which atorvastatin functions in protecting against heart failure.
1523	A.1 Over-expression	E. Associate	1	elastin	moyamoya disease	Increase in elastin gene expression and protein synthesis in arterial smooth muscle cells derived from patients with Moyamoya disease.
1524	J. Inhibition	A. Treat	1	ACE	heart failure	Association between spironolactone added to beta-blockers and ACE inhibition and survival in heart failure patients with reduced ejection fraction: a propensity score-matched cohort study.
1525	J. Inhibition	A. Treat	1	AT1	heart failure	Doses of heart failure medication did not differ significantly in patients with LVEDD >70 mm and WBCc >11 Gpt/l when compared to LVEDD >70 mm and WBCc ≤ 11 Gpt/l (percent of maximum doses: ß-blockers p=0.51, ACE inhibitors p=0.56, AT1 antagonists p=0.77, aldosterone antagonists p=0.35).
1526	L.1 Up-regulation	E. Associate	1	GRK2	heart failure	Adrenal GRK2 upregulation mediates sympathetic overdrive in heart failure.
1527	J. Inhibition	H. Benefit	1	TUG1	acute myocardial infarction	Suppression of lncRNA TUG1 may prevent myocardial I/R injury following acute myocardial infarction via inhibiting HMGB1 expression.
1528	J. Inhibition	H. Benefit	1	purinergic receptor P2X4	ischemic stroke	Neuroprotective and neuro-rehabilitative effects of acute purinergic receptor P2X4 (P2X4R) blockade after ischemic stroke.
1529	A.2 Under-expression	E. Associate	1	NF1	von hippel-lindau syndrome	Reduced or absent NF1 gene expression was documented in 7 of these 20 tumors (35%) including 1 of 4 sporadic tumors, 3 of 10 tumors from patients with multiple endocrine neoplasia (MEN) 2A, 2 of 4 tumors from patients with MEN2B, and 1 of 2 tumors from patients with von Hippel-Lindau syndrome.
1530	D.1 Mutation	C. Cause	1	NLRP3	myocardial infarction	The discovery of NLRP3 gene mutations in autoinflammatory diseases such as Muckle-Wells syndrome has led to the association of NLRs in the pathogenesis of many non-microbial diseases that include arthritis, neurodegenerative disorders, metabolic disorders (obesity and diabetes), cardiovascular disease (atherosclerosis, myocardial infarction), inflammatory bowel disease, kidney disease and hypersensitivity dermatitis.
1531	I. None	A. Treat	1	tpa	stroke	Other than thrombolysis in the acute phase of the disease by tissue plasminogen activator (tPA), which offers only a short window of treatment (~3 hours), an ideal stroke therapy is not available mainly because of limited understanding of the mechanisms of neuroregeneration and functional recovery in the chronic phase.
1532	I. None	A. Treat	1	tissue plasminogen activator	stroke	Trials testing intravenous recombinant tissue Plasminogen Activator suggest that it may be associated with slightly less hazard and more benefit when given up to six hours after stroke - death within the first ten days OR 1.24, 95% CI 0.85 to 1.81, death at the end of follow-up OR 1.16, 95% CI 0.94 to 1.44, dead or dependent at the end of follow-up OR 0.79, 95% CI 0.68 to 0.92.
1533	D.1 Mutation	E. Associate	0	LMNA	familial dilated cardiomyopathy	It is still not at all clear how defects in these nuclear membrane proteins are related to the phenotype, even less clear that LMNA mutations can also be associated with familial dilated cardiomyopathy with no weakness, and even familial partial lipodystrophy with diabetes mellitus and coronary heart disease!
1534	I. None	G. Marker	1	c-reactive protein	coronary atherosclerosis	Markers of coronary atherosclerosis, including brachial artery flow-mediated dilation, carotid intima-media thickness, and high-sensitivity C-reactive protein, were measured before GBS and 6, 12, and 24 months after GBS.
1535	D.1 Mutation	E. Associate	1	MYBPC3	hypertrophic cardiomyopathy	Nationwide study on hypertrophic cardiomyopathy in Iceland: evidence of a MYBPC3 founder mutation.
1536	I. None	A. Treat	1	tissue plasminogen activator	stroke	Intravenous tissue plasminogen activator (t-PA) provided to carefully selected patients that can be treated within 3 hours of stroke onset results in improved outcome in these patients.
1537	I. None	A. Treat	1	tissue plasminogen activator	stroke	Urgent therapy for stroke. Part II. Pilot study of tissue plasminogen activator administered 91-180 minutes from onset.
1538	I. None	E. Associate	0	ARHGEF26	coronary artery disease	Phenome-wide association scanning showed that CCDC92 likely affects coronary artery disease through insulin resistance pathways, whereas experimental analysis suggests that ARHGEF26 influences the transendothelial migration of leukocytes.
1539	I. None	E. Associate	1	FGF23	cardiovascular disease	Better understanding of the most relevant pathophysiologic pathways for FGF23 may lead to therapeutic interventions against cardiovascular disease in patients with CKD.
1540	A. Expression	E. Associate	0	MPO	coronary artery disease	The aim of this study was to evaluate alterations in soluble intercellular adhesion molecule-1 (sICAM-1), soluble vascular cell adhesion molecule-1 (sVCAM-1), soluble E-selectin (sE-selectin), matrix metalloproteinase-9 (MMP-9), plasminogen activator inhibitor-1 (PAI-1), and myeloperoxidase (MPO) levels, and their relation to insulin resistance in coronary artery disease (CAD) patients with stable and unstable angina (SAP, UAP).
1541	D.1 Mutation	C. Cause	0	plasminogen activator inhibitor 1	stroke	She was also homozygous for plasminogen activator inhibitor 1 (PAI-1) 4G/4G, which at present is a controversial stroke risk factor.
1542	L. Be regulated	H. Benefit	1	PTEN	coronary artery disease	MicroRNA-20a participates in the aerobic exercise-based prevention of coronary artery disease by targeting PTEN.
1543	I. None	A. Treat	1	β-blocker	myocardial infarction	Immediate β-blocker administration in the emergency setting is associated with a reduction of all-cause and cardiovascular mortality in patients with ST-segment elevation myocardial infarction and seems to be superior to a delayed β-blockade in our patient cohort.
1544	I. None	B. Target	1	PKM2	cardiovascular disease	In essence, PKM2 serves a previously unidentified role as a molecular integrator of metabolic dysfunction, oxidative stress and tissue inflammation and represents a novel therapeutic target in cardiovascular disease.
1545	G. Regulate	H. Benefit	1	csa	congestive heart failure	In animal models, inhibition of mPTP opening by either CsA or genetic ablation of CyP-D provides strong protection from both reperfusion injury and congestive heart failure.
1546	D.5 Polymorphism	E. Associate	1	LPL	coronary artery disease	We investigated the possibility that the DNA HindIII polymorphism of human lipoprotein lipase (LPL) is associated with the severity of coronary artery disease (CAD) determined by angiography in young patients who survived a myocardial infarction (MI).
1547	I. None	G. Marker	1	c-reactive protein	cardiovascular disease	Inflammatory markers, such as C-reactive protein (CRP), have been shown to predict future cardiovascular events in individuals with and without established cardiovascular disease (CVD).
1548	D.1 Mutation	E. Associate	1	HTRA1	cerebral small vessel disease	Characterization of Heterozygous HTRA1 Mutations in Taiwanese Patients With Cerebral Small Vessel Disease.
1549	J. Inhibition	A. Treat	1	angiotensin II	heart failure	[Current role of angiotensin II antagonists in the treatment of heart failure].
1550	J. Inhibition	A. Treat	1	renin	heart failure	Novel treatment strategy with direct renin inhibition against heart failure.
1551	I. None	E. Associate	0	HDL	ischaemic heart disease	We used linear regression to assess the strength of the association of ALDH2 variants with alcohol use, whether ALDH2 variants were independently associated with socio-economic position or other potential confounders and whether associations of ALDH2 variants with cardiovascular risk factors (systolic and diastolic blood pressure, HDL- and LDL-cholesterol, fasting glucose), triglycerides, body mass index, self reported cardiovascular disease, self-reported ischaemic heart disease, cognitive function (delayed 10-word recall and Mini Mental State Examination score) and liver function (alanine transaminase and aspartate transaminase) were fully mediated by alcohol use.
1552	A. Expression	E. Associate	1	KCNE2	acute myocardial infarction	Dynamic changes in HCN2, HCN4, KCNE1, and KCNE2 expression in ventricular cells from acute myocardial infarction rat hearts.
1553	I. None	E. Associate	0	CRP	transient ischemic attack	NT-proBNP and renin, but not CRP, are independent predictors of MI risk after stroke or transient ischemic attack, providing information additional to that provided by classic risk factors, and may enable more effective targeting of MI prevention strategies.
1554	J. Inhibition	H. Benefit	1	P2X4R	stroke	In summary, acute P2X4R inhibition protects against ischemic injury at both acute and chronic time-points after stroke.
1555	D.1 Mutation	E. Associate	1	MYBPC3	hypertrophic cardiomyopathy	We previously provided evidence for the feasibility of trans-splicing, exon skipping, and gene replacement in a mouse model of hypertrophic cardiomyopathy (HCM) carrying a mutation in MYBPC3, encoding cardiac myosin-binding protein C (cMyBP-C).
1556	I. None	A. Treat	1	brain natriuretic peptide	cardiac failure	Effectiveness and safety of recombinant human brain natriuretic peptide in the treatment of acute myocardial infarction in elderly in combination with cardiac failure.
1557	A. Expression	E. Associate	0	TTR	stroke	The unknown role of the carrier protein transthyretin (TTR) in mechanisms of functional recovery in the postischemic brain prompted us to study its expression following experimental stroke.
1558	H. Other	C. Cause	1	IRS2	heart failure	We recently demonstrated that insulin receptor substrates 1, 2 (IRS1, 2) are key components of insulin signaling and loss of IRS1 and IRS2 mediates insulin resistance, resulting in metabolic dysregulation and heart failure, which is associated with downstream Akt inactivation and in turn activation of the forkhead transcription factor Foxo1.
1559	I. None	B. Target	1	urotensin II	cardiovascular disease	Urotensin II: a new pharmacologic target in the treatment of cardiovascular disease.
1560	I. None	G. Marker	1	brain natriuretic peptide	hypertrophic cardiomyopathy	Usefulness of high-sensitivity cardiac troponin T and brain natriuretic peptide as biomarkers of myocardial fibrosis in patients with hypertrophic cardiomyopathy.
1561	A.1 Over-expression	H. Benefit	1	ABCA1	cardiovascular disease	Cav halts atherosclerosis by enhancing cholesterol efflux and increasing ABCA1 expression in macrophages and in exosomes, possibly through NF-κB and Akt signaling, which provides mechanistic insights regarding the beneficial effects of Cav on atherosclerotic cardiovascular disease.
1562	A.1 Over-expression	H. Benefit	1	HDL	cardiovascular disease	Early epidemiological studies, such as Framingham's, stated that increased HDL levels were associated with a significant decrease in relative risk for cardiovascular disease (CVD) mortality.
1563	A.2 Under-expression	E. Associate	1	STAMP2	carotid atherosclerosis	In MetS patients, especially women patients, STAMP2 expression was down-regulated in peripheral blood mononuclear cell, which was correlated with carotid atherosclerosis and cardiac adaptation.
1564	J. Inhibition	A. Treat	1	ACE	chronic heart failure	A great deal of research has demonstrated the benefits of treating patients with chronic heart failure with Angiotensin Converting Enzyme (ACE) inhibitors.
1565	A.1 Over-expression	E. Associate	0	TNF	heart failure	Similar changes in adenosine levels were found in 2 other models of heart failure, mice overexpressing calsequestrin and mice after chronic pressure overload, suggesting that the changes in adenosine-AR signaling were secondary to myocardial dysfunction rather than to TNF overexpression.
1566	D.1 Mutation	C. Cause	1	ACTA2	coronary artery disease	Mutations in ACTA2 are the most common genetic cause of thoracic aortic aneurysm, and are also the cause of other disorders, including Moyamoya disease, coronary artery disease and stroke as well as Multisystemic Smooth Muscle Dysfunction Syndrome.
1567	I. None	A. Treat	1	tissue plasminogen activator	stroke	Admission fibrinolytic profile predicts clot lysis resistance in stroke patients treated with tissue plasminogen activator.
1568	I. None	E. Associate	0	leptin	coronary artery disease	Possible correlations between adiponectin, leptin, CD146, a novel adhesion molecule localized at the endothelial junction, and other markers of endothelial cell injury, von Willebrand factor, thrombomodulin, vascular cell adhesion molecule, and intracellular adhesion molecule, and markers of inflammation, tumor necrosis factor-alpha, interleukin-6, and high-sensitivity C-reactive protein in nondiabetic hemodialyzed patients with and without coronary artery disease were studied.
